vsw,idw,vgs,gm,gds,vsr,gm_full,margin,margin_vth,cgs,cgd,cdb,csb
3.50000000e-01,7.07945784e-01,6.76923779e-01,2.32594965e+01,1.64630080e+00,9.99687099e+01,2.26010873e+01,2.53683846e-01,3.14144784e-01,5.61273929e-10,1.59925154e-10,8.41053292e-11,8.41053292e-11
3.50000000e-01,7.94328235e-01,6.81524997e-01,2.31790780e+01,1.63938483e+00,9.99681043e+01,2.24602626e+01,2.56710710e-01,3.13598047e-01,5.02327175e-10,1.42383646e-10,7.49763640e-11,7.49763640e-11
3.50000000e-01,8.91250938e-01,6.86162551e-01,2.30928935e+01,1.63207742e+00,9.99674548e+01,2.23032586e+01,2.59660138e-01,3.13047206e-01,4.49508812e-10,1.26771749e-10,6.68321032e-11,6.68321032e-11
3.50000000e-01,1.00000000e+00,6.90841644e-01,2.29995199e+01,1.62428634e+00,9.99667531e+01,2.21283024e+01,2.62532609e-01,3.12491757e-01,4.02182446e-10,1.12875501e-10,5.95659325e-11,5.95659325e-11
3.50000000e-01,1.12201845e+00,6.95567514e-01,2.28974129e+01,1.61591175e+00,9.99659909e+01,2.19336878e+01,2.65328935e-01,3.11931205e-01,3.59783551e-10,1.00506488e-10,5.30837285e-11,5.30837285e-11
3.50000000e-01,1.25892541e+00,7.00346271e-01,2.27849752e+01,1.60685088e+00,9.99654993e+01,2.17177787e+01,2.68050835e-01,3.11364969e-01,3.21803554e-10,8.94965072e-11,4.73011990e-11,4.73011990e-11
3.50000000e-01,1.41253754e+00,7.05184528e-01,2.26603803e+01,1.59698564e+00,9.99643587e+01,2.14790538e+01,2.70700762e-01,3.10792419e-01,2.87787703e-10,7.96963640e-11,4.21433650e-11,4.21433650e-11
3.50000000e-01,1.58489319e+00,7.10090012e-01,2.25219570e+01,1.58620932e+00,9.99632720e+01,2.12161058e+01,2.73282282e-01,3.10212814e-01,2.57325609e-10,7.09726446e-11,3.75429619e-11,3.75429619e-11
3.50000000e-01,1.77827941e+00,7.15071575e-01,2.23679003e+01,1.57440614e+00,9.99621293e+01,2.09276609e+01,2.75800110e-01,3.09625297e-01,2.30048016e-10,6.32063474e-11,3.34398044e-11,3.34398044e-11
3.50000000e-01,1.99526231e+00,7.20138263e-01,2.21964475e+01,1.56146371e+00,9.99608759e+01,2.06126586e+01,2.78259708e-01,3.09029011e-01,2.05627779e-10,5.62927666e-11,2.97808035e-11,2.97808035e-11
3.50000000e-01,2.23872114e+00,7.25300867e-01,2.20058585e+01,1.54727111e+00,9.99594772e+01,2.02701857e+01,2.80668144e-01,3.08422915e-01,1.83767856e-10,5.01377296e-11,2.65180463e-11,2.65180463e-11
3.50000000e-01,2.51188643e+00,7.30571056e-01,2.17944727e+01,1.53172297e+00,9.99579024e+01,1.98995483e+01,2.83033743e-01,3.07805891e-01,1.64203253e-10,4.46578520e-11,2.36089878e-11,2.36089878e-11
3.50000000e-01,2.81838293e+00,7.35961577e-01,2.15607377e+01,1.51472125e+00,9.99561180e+01,1.95002864e+01,2.85366304e-01,3.07176721e-01,1.46696884e-10,3.97791080e-11,2.10157461e-11,2.10157461e-11
3.50000000e-01,3.16227766e+00,7.41487302e-01,2.13031947e+01,1.49617392e+00,9.99540842e+01,1.90721179e+01,2.87677680e-01,3.06533970e-01,1.31033986e-10,3.54350391e-11,1.87041949e-11,1.87041949e-11
3.50000000e-01,3.54813389e+00,7.47163971e-01,2.10205653e+01,1.47600112e+00,9.99517525e+01,1.86150578e+01,2.89981377e-01,3.05876133e-01,1.17024199e-10,3.15671340e-11,1.66442053e-11,1.66442053e-11
3.50000000e-01,3.98107171e+00,7.53009862e-01,2.07117046e+01,1.45413154e+00,9.99490623e+01,1.81293164e+01,2.92293436e-01,3.05201444e-01,1.04495044e-10,2.81228425e-11,1.48086225e-11,1.48086225e-11
3.50000000e-01,4.46683592e+00,7.59044980e-01,2.03756700e+01,1.43050723e+00,9.99459383e+01,1.76153930e+01,2.94632288e-01,3.04507975e-01,9.32927705e-11,2.50556604e-11,1.31733407e-11,1.31733407e-11
3.50000000e-01,5.01187234e+00,7.65291431e-01,2.00117252e+01,1.40508370e+00,9.99422940e+01,1.70740840e+01,2.97019155e-01,3.03793593e-01,8.32798817e-11,2.23243102e-11,1.17168920e-11,1.17168920e-11
3.50000000e-01,5.62341325e+00,7.71775261e-01,1.96193220e+01,1.37782858e+00,9.99379835e+01,1.65063635e+01,2.99479020e-01,3.03055749e-01,7.43312718e-11,1.98915744e-11,1.04198466e-11,1.04198466e-11
3.50000000e-01,6.30957344e+00,7.78524325e-01,1.91981543e+01,1.34872528e+00,9.99328699e+01,1.59136169e+01,3.02040121e-01,3.02291731e-01,6.63367366e-11,1.77248767e-11,9.26514161e-12,9.26514161e-12
3.50000000e-01,7.07945784e+00,7.85571190e-01,1.87481435e+01,1.31777189e+00,9.99267442e+01,1.52974434e+01,3.04735427e-01,3.01498324e-01,5.91961011e-11,1.57948685e-11,8.23734414e-12,8.23734414e-12
3.50000000e-01,7.94328235e+00,7.92952060e-01,1.82694680e+01,1.28498311e+00,9.99193338e+01,1.46598153e+01,3.07602633e-01,3.00671938e-01,5.28202116e-11,1.40756241e-11,7.32276954e-12,7.32276954e-12
3.50000000e-01,8.91250938e+00,8.00707746e-01,1.77625415e+01,1.25038871e+00,9.99102749e+01,1.40030638e+01,3.10684990e-01,2.99808491e-01,4.71292169e-11,1.25441072e-11,6.50920924e-12,6.50920924e-12
3.50000000e-01,1.00000000e+01,8.08886008e-01,1.72280579e+01,1.21403651e+00,9.98990711e+01,1.33297638e+01,3.14032762e-01,2.98903142e-01,4.20505994e-11,1.11795846e-11,5.78562976e-12,5.78562976e-12
3.50000000e-01,1.12201845e+01,8.17540290e-01,1.66669709e+01,1.17599090e+00,9.98850379e+01,1.26429349e+01,3.17703323e-01,2.97950424e-01,3.75200020e-11,9.96379907e-12,5.14227364e-12,5.14227364e-12
3.50000000e-01,1.25892541e+01,8.26732103e-01,1.60805316e+01,1.13633532e+00,9.98672133e+01,1.19459416e+01,3.21762778e-01,2.96943959e-01,3.34794608e-11,8.88045008e-12,4.57039149e-12,4.57039149e-12
3.50000000e-01,1.41253754e+01,8.36531507e-01,1.54703146e+01,1.09517390e+00,9.98442226e+01,1.12425545e+01,3.26286884e-01,2.95876388e-01,2.98771115e-11,7.91507994e-12,4.06218831e-12,4.06218831e-12
3.50000000e-01,1.58489319e+01,8.47019621e-01,1.48381696e+01,1.05262807e+00,9.98140611e+01,1.05368790e+01,3.31362936e-01,2.94739060e-01,2.66661604e-11,7.05475973e-12,3.61066313e-12,3.61066313e-12
3.50000000e-01,1.77827941e+01,8.58290317e-01,1.41862386e+01,1.00883770e+00,9.97737442e+01,9.83333559e+00,3.37091437e-01,2.93521812e-01,2.38044771e-11,6.28795743e-12,3.20954490e-12,3.20954490e-12
3.50000000e-01,1.99526231e+01,8.70449715e-01,1.35171059e+01,9.63970948e-01,9.97187430e+01,9.13677225e+00,3.43586629e-01,2.92212958e-01,2.12546634e-11,5.60452973e-12,2.85329163e-12,2.85329163e-12
